Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,45.0,1,1,0,1,150.0,33333.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,0,1,145.0,34523.0,1,1,0,0,0,1,0,1,0,0,0,0
2,74.0,1,1,1,1,105.0,14189.0,1,0,0,0,1,0,0,1,0,0,0,1
4,144.0,1,1,0,1,471.0,32706.0,1,0,0,0,0,1,0,1,0,0,0,1
1,42.0,1,1,1,1,154.0,36666.0,1,0,0,0,1,0,0,1,0,0,0,0
2,51.0,1,0,1,0,90.0,17647.0,1,0,0,0,0,1,0,1,0,0,0,1
2,57.0,1,1,0,1,250.0,43859.0,1,0,0,0,1,0,0,1,0,0,0,1
2,43.0,1,1,1,1,149.0,33909.0,1,0,0,0,0,0,1,1,0,0,0,0
2,45.0,1,1,0,1,220.0,48888.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,166.0,39523.0,1,1,0,0,0,0,1,1,0,0,0,0
2,48.0,1,1,1,1,185.0,38110.0,1,1,0,0,1,0,0,1,0,0,0,0
1,47.0,1,0,1,1,130.0,27659.0,1,1,0,0,1,0,0,1,0,0,0,0
1,58.0,1,1,1,1,205.0,35042.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,0,1,155.0,36904.0,1,1,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,1,1,150.0,35714.0,1,0,0,0,0,1,0,1,0,0,0,0
2,53.0,1,1,0,1,190.0,35849.0,1,0,0,0,1,0,0,1,0,0,0,1
2,45.0,1,1,1,1,179.0,39777.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,185.0,41111.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,150.0,35714.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,200.0,47619.0,1,0,0,0,0,1,0,1,0,0,0,0
2,49.0,1,1,1,1,190.0,38229.0,1,1,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,139.0,30888.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,0,1,1,150.0,35714.0,1,0,0,0,0,1,0,1,0,0,0,0
4,81.0,1,1,1,1,380.0,46913.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,0,1,1,158.0,37619.0,1,0,0,0,0,1,0,1,0,0,0,0
2,33.0,1,1,0,1,95.0,28787.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,118.0,28095.0,1,0,0,0,0,1,0,1,0,0,0,0
2,35.0,1,1,0,1,118.0,33714.0,1,0,0,0,0,1,0,1,0,0,0,0
2,40.0,1,0,1,1,90.0,22500.0,1,0,0,0,0,1,0,1,0,0,0,0
2,50.0,1,1,0,1,201.0,40200.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,1,176.0,39111.0,1,0,0,0,1,0,0,1,0,0,0,0
