Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10
1,47,1,1,1,1,148,31489,1,0,0,0,0,0,1,0,1,0,0
2,42,1,1,1,1,160,38095,1,0,1,0,0,1,0,0,1,0,0
1,35,1,1,0,0,120,34285,0,0,1,0,0,1,0,0,1,0,0
3,49,1,1,0,1,175,35714,0,0,1,0,0,1,0,0,1,0,0
3,89,1,0,0,1,251,28139,1,0,0,0,0,1,0,0,1,0,0
2,81,1,0,1,1,252,31111,1,0,0,0,0,1,0,0,1,0,0
1,49,0,1,0,1,145,29591,0,0,1,0,0,1,0,0,1,0,0
2,42,1,0,1,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
3,85,1,0,1,1,301,35229,1,0,0,0,0,1,0,0,1,0,0
2,62,1,0,1,1,151,24350,1,1,0,0,1,0,0,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,1,1,130,30952,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,0,1,169,40238,1,0,1,0,0,1,0,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,49,1,1,0,0,107,21836,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,1,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,0,1,188,44339,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,1,1,130,30952,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,1,1,178,42380,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,0,1,138,32857,1,0,1,0,0,1,0,0,1,0,0
2,52,1,1,1,1,220,42307,1,0,0,0,0,1,0,0,1,0,0
3,86,1,1,1,1,314,36175,1,1,0,0,0,1,0,0,1,0,0
2,32,1,0,1,1,80,25000,1,1,0,0,1,0,0,0,1,0,0
1,45,1,0,0,1,123.5,27444,1,0,0,0,0,0,1,0,1,0,0
4,238,0,1,1,1,650,27310,1,1,0,0,0,1,0,0,1,0,0
2,46,1,1,1,1,131,28478,1,1,0,0,0,1,0,0,1,0,0
1,55,1,1,1,1,180,32727,1,1,0,0,1,0,0,0,1,0,0
4,121,0,0,1,1,336,27768,1,1,0,0,0,0,1,0,1,0,0
2,89,0,1,1,1,430,47937,1,0,0,0,0,1,0,0,1,0,0
2,48,1,1,1,1,170,35416,0,1,0,0,0,1,0,0,1,0,0
2,54,1,1,1,0,158,29259,1,1,0,0,0,0,0,0,1,0,0
2,42,1,1,0,1,190,45238,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,0,1,188,44761,1,0,0,0,0,1,0,0,1,0,0
3,89,1,1,1,1,360,40449,1,1,0,0,0,1,0,0,1,0,0
2,46,1,1,1,1,150,32608,1,0,0,0,0,1,0,0,1,0,0
1,53,1,1,1,1,120,22641,1,1,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,155,34444,1,0,0,0,0,1,0,0,1,0,0
