Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l
1,49,1,1,0,1,160.0,32653,0,1,1,0,0,1,0
2,50,1,1,0,1,201.0,40200,1,0,0,0,0,1,0
2,51,1,1,1,1,95.0,18627,1,0,0,0,1,0,0
2,48,1,1,1,1,170.0,35416,0,1,0,0,0,1,0
2,46,1,1,1,1,170.0,36956,1,1,0,0,1,0,0
3,67,1,1,1,1,200.0,29850,1,1,0,0,0,1,0
1,51,1,1,1,1,132.0,25882,1,1,0,0,0,1,0
1,54,1,1,1,1,110.0,20220,1,0,0,0,0,1,0
2,42,1,1,1,1,199.0,47380,1,0,0,0,1,0,0
3,60,1,1,1,1,230.0,38333,1,0,0,0,0,1,0
2,45,1,1,0,1,165.0,36666,1,0,0,0,0,1,0
2,45,1,0,0,1,155.0,34444,1,0,0,0,0,1,0
2,42,1,1,0,1,145.0,34523,1,0,0,0,0,1,0
2,40,1,1,0,1,155.0,38750,1,0,0,0,1,0,0
2,42,1,1,1,1,148.0,35238,1,1,0,0,0,1,0
2,42,1,1,0,1,153.0,36428,1,0,0,0,0,1,0
2,42,1,0,0,1,158.0,37619,1,0,0,0,0,1,0
2,45,1,0,0,1,152.0,33777,1,0,0,0,1,0,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,45,1,1,0,1,156.0,34666,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
1,45,1,1,0,1,116.0,25777,1,0,0,0,1,0,0
2,43,1,1,0,1,112.0,26046,1,0,0,0,1,0,0
2,42,1,1,0,1,148.0,35238,1,0,0,0,1,0,0
2,43,1,0,0,1,158.0,36744,1,0,0,0,0,1,0
2,43,1,0,0,1,165.0,38372,1,0,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
1,45,1,0,0,1,150.0,33333,1,1,0,0,0,1,0
2,42,1,1,0,1,150.0,35714,1,1,0,0,0,0,1
1,46,1,1,0,1,134.6,29250,1,0,0,1,0,0,1
4,89,1,1,1,1,500.0,56179,1,1,0,0,1,0,0
2,45,1,1,0,1,145.6,32344,1,0,0,0,0,0,1
2,45,1,1,1,1,185.0,41111,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,0,1,0,0,0,1,0
2,42,1,0,1,1,160.0,38095,1,0,0,0,0,1,0
2,45,1,1,1,1,190.0,42222,1,1,0,0,0,1,0
4,198,1,0,1,1,758.0,38282,1,1,0,0,0,1,0
4,198,0,0,1,1,750.0,37878,1,1,0,0,0,0,1
2,60,1,0,1,1,120.0,20000,1,0,0,0,0,1,0
2,42,1,0,1,1,148.0,35238,1,0,0,0,0,1,0
3,89,1,1,1,1,426.0,47865,1,1,0,0,1,0,0
2,49,1,1,1,1,115.0,23421,0,0,0,1,1,0,0
3,87,0,1,1,1,370.0,42189,1,1,0,0,0,1,0
2,50,0,1,1,0,225.0,45000,1,0,1,0,1,0,0
2,45,1,1,1,1,148.0,32888,1,1,0,0,1,0,0
1,51,1,1,0,1,135.0,26470,1,1,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,51,1,1,0,1,80.0,15686,1,0,0,0,1,0,0
1,46,1,1,0,1,112.0,24347,1,0,0,0,0,1,0
2,42,1,1,1,1,148.0,35238,1,1,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
3,89,1,0,1,1,480.0,53872,1,0,0,0,0,1,0
1,50,1,1,1,1,150.0,30000,1,0,0,0,1,0,0
1,51,1,0,0,1,160.0,31372,1,1,0,0,1,0,0
2,51,1,1,1,1,95.0,18627,1,0,0,0,1,0,0
1,56,1,1,1,1,222.0,39153,1,1,0,0,0,1,0
1,56,1,1,1,1,222.0,39153,1,1,0,0,0,1,0
2,50,1,1,1,1,180.0,36000,1,0,0,0,1,0,0
2,73,1,1,1,1,311.0,42602,1,1,0,0,0,1,0
2,45,1,1,0,0,186.0,41333,1,1,0,0,1,0,0
3,52,1,1,1,1,255.0,49038,1,0,0,0,0,1,0
1,40,1,1,1,1,149.0,37250,1,1,0,0,1,0,0
1,53,1,0,0,0,100.0,18867,1,0,0,0,0,0,0
1,42,1,1,0,1,180.0,42857,1,0,0,0,0,1,0
2,70,1,1,1,1,300.0,42857,0,1,1,0,1,0,0
2,50,1,1,0,1,201.0,40200,1,0,0,0,0,1,0
1,42,1,1,1,1,155.0,36904,1,1,0,0,1,0,0
2,48,1,1,1,1,175.0,36458,1,0,0,0,0,1,0
3,106,1,0,1,1,310.0,29245,1,0,0,0,1,0,0
1,40,1,1,1,1,149.0,37250,1,1,0,0,1,0,0
2,42,1,1,1,1,132.0,31428,1,0,0,0,0,1,0
2,42,1,1,1,1,158.0,37619,1,0,0,0,0,1,0
2,47,1,1,0,0,126.0,26808,1,1,0,0,0,1,0
2,51,1,0,1,0,90.0,17647,1,0,0,0,0,1,0
2,51,1,1,1,1,220.0,43137,0,1,0,0,0,1,0
3,88,0,1,1,1,360.0,40909,1,1,0,0,1,0,0
2,45,1,1,1,1,128.0,28444,1,0,0,0,0,1,0
2,42,1,1,1,1,155.0,36904,1,0,1,0,0,0,1
1,35,1,1,1,1,116.0,33142,0,1,0,1,1,0,0
2,54,1,1,0,1,155.0,28703,1,0,0,0,0,0,1
2,42,1,1,1,1,198.0,47142,1,0,0,0,0,1,0
1,49,1,0,0,1,115.0,23469,1,0,0,0,0,1,0
2,42,1,0,1,1,159.0,37857,1,0,0,0,0,1,0
2,58,1,1,1,1,208.0,35862,1,0,0,0,0,1,0
1,58,1,1,1,1,185.6,32000,1,0,0,0,0,0,1
2,53,1,1,0,1,175.0,33018,1,1,0,0,1,0,0
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,47,1,1,1,1,185.0,39361,1,1,0,0,1,0,0
5,129,0,1,1,1,498.0,38604,1,1,0,0,0,0,1
4,129,0,1,1,1,430.0,33333,1,0,0,0,0,0,1
2,42,1,1,1,1,168.0,40000,1,0,0,0,0,1,0
1,50,1,1,1,1,175.0,35000,0,0,1,0,0,1,0
2,58,1,1,1,1,220.0,37931,1,0,0,0,0,1,0
